"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
37,600917,"Leclerc, José",782,4.7,0,0,,0,0,0,,0,14,,,2675,96.9,95.14,37,37,0,-1.8000000000000114,5.35,111,153,120,146,300,322,295
37,606303,"Payamps, Joel",952,3.9,0,0,,0,0,0,,0,11,,,2383,95.2,94.65,37,37,0,-0.6000000000000085,5.94,108,151,117,147,302,322,304
37,605194,"Cotton, Jharel",741,5,0,0,,0,0,0,,0,5,,,2278,92.8,91.3,37,37,0,-1.5,5.41,113,156,114,147,298,324,290
36,676760,"Marinaccio, Ron",757,4.8,0,0,,0,0,0,,0,13,,,2338,94.9,95.06,36,36,0,0.19999999999998863,6.61,111,153,120,150,294,325,288
36,656546,"Hoffman, Jeff",848,4.2,0,0,,0,0,0,,0,12,,,2458,94.3,94.38,36,36,0,0.10000000000000853,6.45,117,157,130,145,292,319,293
36,643511,"Rogers, Tyler",1166,3.1,0,0,,0,0,0,,0,9,,,1914,83.2,79.88,36,36,0,-3.299999999999997,5.95,110,151,116,149,296,322,292
36,669270,"Kuhnel, Joel",934,3.9,0,0,,0,0,0,,0,14,,,2235,96.6,95.12,36,36,0,-1.5,6.98,113,151,123,144,292,321,291
36,674072,"Henry, Tommy",773,4.7,0,0,,0,0,0,,0,10,,,2205,91.7,92.11,36,36,0,0.3999999999999915,6.55,110,154,124,148,300,321,295
36,621381,"Strahm, Matt",764,4.7,0,0,,0,0,0,,0,15,,,2299,94.4,94.17,36,36,0,-0.20000000000000284,6.29,106,153,117,149,296,328,291
36,643377,"Jax, Griffin",1157,3.1,0,0,,0,0,0,,0,8,,,2405,95.6,94.8,36,36,0,-0.7000000000000028,5.88,109,156,117,150,297,329,292
35,670124,"Oller, Adam",1294,2.7,0,0,,0,0,0,,0,7,,,2260,93.3,93.15,35,35,0,-0.09999999999999432,6.21,112,153,109,150,298,322,296
35,676265,"Abbott, Cory",845,4.1,0,0,,0,0,0,,0,14,,,2247,91.2,90.85,35,35,0,-0.29999999999999716,6.27,109,150,126,149,295,318,300
34,641712,"Hudson, Dakota",2253,1.5,0,0,,0,0,0,,0,9,,,2156,91.4,91.56,34,34,0,0.19999999999998863,6.36,112,155,110,147,297,323,300
34,503285,"O'Day, Darren",385,8.8,0,0,,0,0,0,,0,18,,,2380,86,86.7,34,34,0,0.7000000000000028,6.71,113,154,126,147,305,328,300
34,598264,"Barnes, Matt",693,4.9,0,0,,0,0,0,,0,9,,,2252,95.2,95.92,34,34,0,0.7000000000000028,6.82,115,157,121,149,291,328,296
34,622250,"Sborz, Josh",419,8.1,0,0,,0,0,0,,0,8,,,2349,97,96.2,34,34,0,-0.7999999999999972,5.91,110,153,118,149,300,325,295
34,670090,"Mills, Wyatt",503,6.8,0,0,,0,0,0,,0,8,,,2021,91.8,92.57,34,34,0,0.7999999999999972,6.8,117,161,125,149,298,325,298
34,668948,"McCarty, Kirk",574,5.9,0,0,,0,0,0,,0,12,,,2335,92.7,92.24,34,34,0,-0.5,6.12,103,150,121,148,299,318,292
33,502042,"Archer, Chris",1787,1.8,0,0,,0,0,0,,0,6,,,2195,93.5,93.43,33,33,0,-0.09999999999999432,6.27,110,157,117,151,301,334,290
33,543243,"Gray, Sonny",1872,1.8,0,0,,0,0,0,,0,7,,,2495,92,92.6,33,33,0,0.5999999999999943,6.5,116,161,116,152,295,330,291
33,669674,"Long, Sam",739,4.5,0,0,,0,0,0,,0,11,,,2215,94.7,94.31,33,33,0,-0.4000000000000057,6.09,109,152,117,148,298,320,293
33,656970,"Smeltzer, Devin",1129,2.9,0,0,,0,0,0,,0,12,,,2274,89.2,88.27,33,33,0,-0.9000000000000057,5.78,110,155,118,148,295,327,291
32,663776,"Sandoval, Patrick",2456,1.3,0,0,,0,0,0,,0,10,,,2050,93.6,92.93,32,32,0,-0.6999999999999886,5.93,105,152,119,147,300,326,291
32,600921,"Machado, Andres",997,3.2,0,0,,0,0,0,,0,14,,,2109,95.4,96.19,32,32,0,0.7999999999999972,6.75,117,155,121,149,298,316,296
32,592789,"Syndergaard, Noah",2026,1.6,0,0,,0,0,0,,0,14,,,2106,93.9,94.57,32,32,0,0.6999999999999886,6.72,116,151,114,155,295,322,295
32,666200,"Luzardo, Jesús",1644,1.9,0,0,,0,0,0,,0,13,,,2227,96.8,95.6,32,32,0,-1.2000000000000028,5.77,106,155,120,150,300,315,292
